id_personne,nom,prenom,email,code_ej,lib_ej,code_bannette,lib_bannette
ee1c0f6f-4f9d-48f5-a2db-a02511f45eaa,Nariko,Sundin,Nariko.Sundin@pwc.com,464d2d7d-e149-4551-bbb7-9c5f5e829ba5,FNSEEMliaglC J,8399b875-bd22-4c06-a43d-9a7de6222317,BAJZEeXwFKsy
45202211-6ed3-4c89-a83c-e9bbcf3f35d9,Yvonne,Poppy,Yvonne.Poppy@pwc.com,13e7ce55-8362-497f-acf5-b14de88ddc82,oZFdkWLLpouo,46ce5669-60df-4aa9-8855-fd68550e31ac,ivmihyVheSzml
a7744a37-754a-4181-98f3-321d9b98643d,Robinia,Alice,Robinia.Alice@pwc.com,19fa8076-552e-45e1-8332-3c74aeeda91b,AwZmuNQmlMf,29f5f902-7824-40da-ba2a-f851e16e3946,AbYlPSfbMT TY
b38eceb6-4b72-48dd-baab-c7fb7245e38a,Hallie,Naor,Hallie.Naor@pwc.com,c25ab912-2eb7-40ef-a6fb-7ec1a6244bea,WOTXOWfyLe,c6e428d7-f406-41ca-b7d3-4821753c92f9,MoHW  qIeW
5f308eb9-3768-49a5-8c47-4518fc6f05ee,Merry,Dominy,Merry.Dominy@pwc.com,72ede10d-69dc-47b8-affb-621d6113649f,hhHVIlGBg,1bbf2f24-a548-44dc-bf5d-742a2ab2f67a,MtfItaEs
23f5510f-5f7d-48ef-abef-82cb136c3307,Gertrud,Alejoa,Gertrud.Alejoa@pwc.com,9fe1eb19-ee2b-4360-b4ca-4a399cec69aa,EZUrUhhsoSHwD,7ca247eb-dcbd-40b0-b3ec-f0a529104ee8,ABJYNGdycZPJzB
36507c54-1616-41ff-ac24-cffd03ff3a75,Lindie,Elisha,Lindie.Elisha@pwc.com,99715a9a-93aa-432b-be6d-24a08489e7df,ovll sdy,e1c4426d-4a49-4fb8-8b0e-36876899980d,XobhVeZFOndRu
7b8633f3-8d0c-41a9-b896-441ab6842e3e,Alia,Secrest,Alia.Secrest@pwc.com,1798cf2c-e6de-4e9a-8dc0-04b4f6045c11,b VDxfKVeBGb,c93f2aef-e88f-4ae2-af4b-1d70cae482e6,rNPw RyTkBQ
5b96f84b-a909-4909-9edf-9f3bf3c9f5ce,Clary,Yusuk,Clary.Yusuk@pwc.com,973de8fe-1582-4b79-9b03-2641da3f18ee,XZXlwwYzYn,8f179c86-6c10-4904-9101-6657b18b9dfc,NvqwxIVrZX
b3b156f5-5ee3-4571-9c27-2e00244f0528,Clarice,Dorine,Clarice.Dorine@pwc.com,5779c24f-c5f8-488f-a613-66aa36010bbe,bYYhKCRXM,452be22a-4bdb-494d-92ca-c8b8ba012fa3,GnEQDLChGj
264ae6ac-a29c-4cac-99ba-13fa81d57916,Averyl,Flita,Averyl.Flita@pwc.com,a9f673d8-8ff4-4bc1-af0f-2875cae985a5,sqdnvWOBnuYkmil,a036eb08-eb95-4c39-95fd-624ba4cdf0a4,kukQxOBm
380986ca-39d0-4dbc-ac1b-4f4942f1ba27,Elmira,Gillan,Elmira.Gillan@pwc.com,580ca093-b843-424a-a2f1-8b159ab1466b,SpKhhIkIeqhGVh,415e9bd9-f5e9-44ce-9701-a52adbace665,MdKflSvGpPaeBt
0eb9bce6-6c4b-48bd-90ef-c3562b5d57f1,Barbara,Keily,Barbara.Keily@pwc.com,2c04564b-2d4f-4bf0-affa-5dd0d654e679,aXRCZwQQibEZjGl,734d3ad7-a62c-44d8-b7c1-241937fe38cf,yTPXykDJ
